Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga
15393;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;SABOEIRO;MARCONDES HERBSTER FERRAZ;13;Prefeito;PT;Não Eleito;10922;4934;2026-02-28 19:30:47
14370;Parda;Solteiro(a);35 a 39 anos;Masculino;Superior completo;JAGUARIBARA;JOSÉ NUNES DOS SANTOS FILHO;40;Pedagogo;PSB;Eleito;7585;4886;2026-02-28 19:30:47
15237;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;PORTEIRAS;ALBOINO MIRANDA TAVARES NETO;40;Médico;PSB;Eleito;12032;7065;2026-02-28 19:30:47
14060;Branca;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;IBARETAMA;MAGNO ALEXANDRE CASTRO DE SOUSA;13;Empresário;PT;Não Eleito;11822;856;2026-02-28 19:30:47
14478;Branca;Solteiro(a);25 a 29 anos;Feminino;Superior completo;JUAZEIRO DO NORTE;SUED CARVALHO;80;Professor de Ensino Médio;UP;Não Eleito;156753;2303;2026-02-28 19:30:47
14451;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental completo;JATI;ANTÔNIO NOGUEIRA NETO;40;Agricultor;PSB;Não Eleito;6051;2473;2026-02-28 19:30:47
13269;Branca;Solteiro(a);30 a 34 anos;Masculino;Superior completo;POTIRETAMA;FREDERICO FREITAS CAMPELO BESSA;55;Médico;PSD;Não Eleito;5127;1471;2026-02-28 19:30:47
14680;Branca;Casado(a);70 a 74 anos;Feminino;Ensino Fundamental completo;MIRAÍMA;OZANA COELHO RODRIGUES TEIXEIRA;11;Aposentado (Exceto Servidor Público);PP;Eleito;10379;7664;2026-02-28 19:30:47
15415;Branca;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;SANTANA DO ACARAÚ;PAULO SERGIO BRAZ;15;Outros;MDB;Não Eleito;21772;6507;2026-02-28 19:30:47
15717;Parda;Solteiro(a);45 a 49 anos;Feminino;Superior completo;TRAIRI;GLEICIVANIA PIRES MAGALHAES;55;Professor de Ensino Fundamental;PSD;Não Eleito;40582;10655;2026-02-28 19:30:47
13633;Parda;Casado(a);50 a 54 anos;Feminino;Superior completo;CARIRIAÇU;ADRIANA CALIXTO BEZERRA COSTA;15;Vereador;MDB;Não Eleito;20440;9504;2026-02-28 19:30:47
14770;Branca;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;MORAÚJO;JOSÉ MARIA MOREIRA JUNIOR;40;Empresário;PSB;Não Eleito;7402;3339;2026-02-28 19:30:47
13579;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;CAPISTRANO;FÉLIX SÉRGIO ARAÚJO;44;Vereador;UNIÃO;Não Eleito;13802;534;2026-02-28 19:30:47
14559;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;MARANGUAPE;ATILA CORDEIRO CAMARA;40;Advogado;PSB;Eleito;62512;46254;2026-02-28 19:30:47
14230;Branca;Solteiro(a);35 a 39 anos;Feminino;Superior incompleto;IRAUÇUBA;PATRICIA MARIA SANTOS BARRETO;40;Prefeito;PSB;Eleito;16055;10178;2026-02-28 19:30:47
14338;Parda;Casado(a);65 a 69 anos;Masculino;Ensino Fundamental completo;ITATIRA;JOSE FERREIRA MATEUS;11;Prefeito;PP;Eleito;14692;11897;2026-02-28 19:30:47
15830;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;VIÇOSA DO CEARÁ;EURICO JOSE CARNEIRO FONTENELE ARRUDA;15;Empresário;MDB;Eleito;37777;24655;2026-02-28 19:30:47
14974;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;PACOTI;SUELY MARIA NOGUEIRA DE SOUSA GUERRA;27;Professor de Ensino Fundamental;DC;Não Eleito;9310;0;2026-02-28 19:30:47
14893;Branca;Casado(a);25 a 29 anos;Masculino;Superior incompleto;NOVO ORIENTE;EDUARDO COELHO ROSA CAVALCANTE;40;Empresário;PSB;Eleito;17922;13563;2026-02-28 19:30:47
15415;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;SANTANA DO ACARAÚ;FRANCISCO ELIEZIO CUNHA;23;Comerciante;CIDADANIA;Não Eleito;21772;248;2026-02-28 19:30:47
15318;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;QUIXERÉ;ALDENIR JOSE DE BRITO;45;Agricultor;PSDB;Não Eleito;15590;5594;2026-02-28 19:30:47
13897;Branca;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;GEORGE LIMA DE ARAÚJO;77;Empresário;SOLIDARIEDADE;Não Eleito;1397526;6803;2026-02-28 19:30:47
14710;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;MOMBAÇA;EDUARDO PEDROZA;55;Comerciante;PSD;Não Eleito;25935;12131;2026-02-28 19:30:47
15920;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;IBICUITINGA;ROGERIO BARREIRA PINHEIRO;13;Servidor Público Estadual;PT;Eleito;11058;6706;2026-02-28 19:30:47
13269;Branca;Solteiro(a);30 a 34 anos;Masculino;Ensino Médio completo;POTIRETAMA;LUAN DANTAS FELIX;11;Prefeito;PP;Eleito;5127;3656;2026-02-28 19:30:47
13552;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;CANINDÉ;JOSE KLEDEON VIANA PAULINO;10;Professor de Ensino Fundamental;REPUBLICANOS;Não Eleito;48519;21131;2026-02-28 19:30:47
15571;Parda;Casado(a);35 a 39 anos;Feminino;Superior completo;SENADOR SÁ;ZILMA SOUSA ARAUJO CORDEIRO;40;Vereador;PSB;Não Eleito;1875;1875;2026-02-28 19:30:47
14290;Branca;Solteiro(a);60 a 64 anos;Masculino;Superior completo;ITAPIPOCA;JOAO RIBEIRO BARROSO;45;Engenheiro;PSDB;Não Eleito;82276;25915;2026-02-28 19:30:47
14311;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;ITAPIÚNA;FRANCISCO MÁRCIO DE OLIVEIRA;36;Policial Militar;AGIR;Não Eleito;14002;308;2026-02-28 19:30:47
13137;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;ALTO SANTO;JOSE JOENI HOLANDA DE ARAUJO;11;Empresário;PP;Eleito;10476;8572;2026-02-28 19:30:47
13021;Parda;Casado(a);45 a 49 anos;Masculino;Superior incompleto;MADALENA;ANTONIO GILVAN INACIO DE SALES;10;Servidor Público Municipal;REPUBLICANOS;Não Eleito;12415;4756;2026-02-28 19:30:47
13129;Parda;Solteiro(a);35 a 39 anos;Masculino;Ensino Médio completo;BARREIRA;MARCIO GLEY NASCIMENTO SILVA;40;Vereador;PSB;Eleito;16805;7994;2026-02-28 19:30:47
15458;Branca;Casado(a);70 a 74 anos;Feminino;Superior completo;SANTA QUITÉRIA;CANDIDA MARIA SARAIVA DE PAULA PESSOA;44;Aposentado (Exceto Servidor Público);UNIÃO;Não Eleito;24735;5356;2026-02-28 19:30:47
13234;Branca;Solteiro(a);25 a 29 anos;Feminino;Superior completo;ARACOIABA;MARIA KAROLINE ALVES PINHEIRO;44;Farmacêutico;UNIÃO;Não Eleito;21596;2670;2026-02-28 19:30:47
13188;Branca;Casado(a);35 a 39 anos;Masculino;Superior incompleto;HORIZONTE;RHENAN CAVALCANTE ASSUNÇÃO;25;Empresário;PRD;Não Eleito;49791;10845;2026-02-28 19:30:47
15334;Branca;Viúvo(a);55 a 59 anos;Feminino;Superior completo;REDENÇÃO;FRANCISCA ANGELA PINHEIRO DE SOUZA MEDEIROS;15;Servidor Público Civil Aposentado;MDB;Não Eleito;18470;4394;2026-02-28 19:30:47
15458;Branca;Casado(a);70 a 74 anos;Masculino;Superior completo;SANTA QUITÉRIA;TOMÁS ANTÔNIO ALBUQUERQUE DE PAULA PESSOA;15;Outros;MDB;Não Eleito;27534;8106;2026-02-28 19:30:47
14613;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;MASSAPÊ;ANALBERTO JARDAS FERNANDES MOREIRA;50;Professor de Ensino Médio;PSOL;Não Eleito;27550;77;2026-02-28 19:30:47
15598;Branca;Casado(a);60 a 64 anos;Feminino;Superior completo;SOBRAL;MARIA IZOLDA CELA DE ARRUDA COELHO;40;Psicólogo;PSB;Não Eleito;124273;59135;2026-02-28 19:30:47
13374;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;BARBALHA;GUILHERME SAMPAIO SARAIVA;13;Médico;PT;Eleito;41190;23970;2026-02-28 19:30:47
13935;Parda;Solteiro(a);30 a 34 anos;Masculino;Superior completo;GENERAL SAMPAIO;JOÃO PAULO SALES CORDEIRO;13;Advogado;PT;Eleito;7411;4078;2026-02-28 19:30:47
15814;Parda;Solteiro(a);25 a 29 anos;Masculino;Superior incompleto;VÁRZEA ALEGRE;FLÁVIO SALVIANO LIMA FILHO;15;Gerente;MDB;Eleito;25137;12798;2026-02-28 19:30:47
15830;Branca;Casado(a);55 a 59 anos;Feminino;Superior completo;VIÇOSA DO CEARÁ;SILVANA MARIA CARNEIRO FONTENELE SOARES;45;Outros;PSDB;Não Eleito;37777;13122;2026-02-28 19:30:47
13056;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;ACOPIARA;FABIA COLARES ALVES DE ALMEIDA BARBOSA;15;Farmacêutico;MDB;Não Eleito;32778;14005;2026-02-28 19:30:47
13331;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio incompleto;AURORA;JOSE ADAILTON DE MACEDO;15;Agricultor;MDB;Não Eleito;16685;7851;2026-02-28 19:30:47
15970;Branca;Solteiro(a);60 a 64 anos;Masculino;Ensino Médio completo;MILHÃ;MANOEL GECIMAR PINHEIRO;55;Empresário;PSD;Não Eleito;9503;3034;2026-02-28 19:30:47
13412;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BATURITÉ;RAIMUNDO IVO DOS SANTOS OLIVEIRA JÚNIOR;55;Empresário;PSD;Não Eleito;22708;4650;2026-02-28 19:30:47
13480;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;ITAITINGA;EDUARDO CESAR BEZERRA DIOGENES;30;Empresário;NOVO;Não Eleito;30384;823;2026-02-28 19:30:47
15458;Branca;Solteiro(a);30 a 34 anos;Feminino;Superior completo;SANTA QUITÉRIA;LIGIA MARIA BENEVINUTO DE SOUSA PROTASIO;13;Médico;PT;Não Eleito;27534;7991;2026-02-28 19:30:47
13315;Branca;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;ASSARÉ;JOSÉ LIBÓRIO LEITE NETO;40;Empresário;PSB;Eleito;14746;12289;2026-02-28 19:30:47
14176;Parda;Casado(a);40 a 44 anos;Feminino;Superior completo;IPU;MILENA DAMASCENO CARNEIRO;13;Empresário;PT;Eleito;27936;14519;2026-02-28 19:30:47
13420;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;ARARENDÁ;ARISTEU ALVES EDUARDO;13;Contador;PT;Eleito;7584;5870;2026-02-28 19:30:47
13730;Preta;Casado(a);55 a 59 anos;Masculino;Superior completo;CAUCAIA;WALDEMIR CATANHO DE SENA JUNIOR;13;Jornalista e Redator;PT;Não Eleito;181849;72014;2026-02-28 19:30:47
13145;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;ACARAPE;VIVIAN TORRES RAMOS DE FREITAS;10;Fisioterapeuta e Terapeuta Ocupacional;REPUBLICANOS;Não Eleito;11074;3921;2026-02-28 19:30:47
13129;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;BARREIRA;FRANCISCO HERMES DANTAS DE SOUSA;22;Servidor Público Municipal;PL;Não Eleito;16805;314;2026-02-28 19:30:47
14591;Branca;Casado(a);35 a 39 anos;Feminino;Superior completo;MARTINÓPOLE;BRUNA SAYURI KYOMEN RORIZ;55;Vereador;PSD;Não Eleito;9285;787;2026-02-28 19:30:47
15091;Parda;Casado(a);45 a 49 anos;Feminino;Superior completo;PARAMOTI;ANTONIA TELVANIA FERREIRA BRAZ BARRETO;40;Prefeito;PSB;Eleito;8731;6232;2026-02-28 19:30:47
15458;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;SANTA QUITÉRIA;ANTONIO EVELARDO VIEIRA BIÉ;30;Servidor Público Municipal;NOVO;Não Eleito;27534;145;2026-02-28 19:30:47
14931;Parda;Solteiro(a);35 a 39 anos;Masculino;Superior completo;PACAJUS;JOSÉ WILSON ALVES CHAVES JUNIOR;11;Administrador;PP;Não Eleito;44843;12163;2026-02-28 19:30:47
13161;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental incompleto;CHOROZINHO;LUIZ ALBERTO BRAGA DE FREITAS;12;Comerciante;PDT;Não Eleito;15788;5255;2026-02-28 19:30:47
13030;Parda;Casado(a);50 a 54 anos;Feminino;Superior completo;ACARAÚ;ANA FLÁVIA RIBEIRO MONTEIRO;40;Prefeito;PSB;Eleito;40535;26903;2026-02-28 19:30:47
15130;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;PENAFORTE;LUIS FERNANDES BEZERRA FILHO;40;Técnico em Agronomia e Agrimensura;PSB;Eleito;7721;4497;2026-02-28 19:30:47
14036;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;GUARAMIRANGA;RICARDO PONTES CELESTINO DE BARROS;36;Empresário;AGIR;Não Eleito;5880;5;2026-02-28 19:30:47
15440;Preta;Casado(a);45 a 49 anos;Masculino;Superior completo;SALITRE;RONDILSON DE ALENCAR RIBEIRO;13;Agricultor;PT;Eleito;12623;6358;2026-02-28 19:30:47
15237;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;PORTEIRAS;RAIMUNDO CICERO DA SILVA;13;Agricultor;PT;Não Eleito;12032;4967;2026-02-28 19:30:47
14257;Branca;Solteiro(a);30 a 34 anos;Masculino;Superior completo;ITAIÇABA;IRANILSON LIMA BEZERRA;11;Prefeito;PP;Não Eleito;4018;1341;2026-02-28 19:30:47
14419;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Fundamental completo;JAGUARUANA;JOSE ELIAS DE OLIVEIRA;13;Prefeito;PT;Eleito;23699;15677;2026-02-28 19:30:47
13692;Branca;Casado(a);45 a 49 anos;Feminino;Superior completo;CASCAVEL;ANA PAULA VILA REAL DANTAS;20;Contador;PODE;Não Eleito;49302;552;2026-02-28 19:30:47
15032;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;PALMÁCIA;LEONARDO ARAÚJO DE SOUZA;40;Advogado;PSB;Não Eleito;8526;4196;2026-02-28 19:30:47
13218;Branca;Solteiro(a);30 a 34 anos;Masculino;Superior completo;ARACATI;CAETANO GUEDES NETO;10;Empresário;REPUBLICANOS;Não Eleito;46893;20068;2026-02-28 19:30:47
15016;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;PALHANO;JOÃO BATISTA DE SANTIAGO;55;Outros;PSD;Não Eleito;8803;4080;2026-02-28 19:30:47
13005;Branca;Solteiro(a);45 a 49 anos;Masculino;Superior incompleto;JIJOCA DE JERICOACOARA;MARCIO ALDIGUERI ARRUDA;55;Empresário;PSD;Não Eleito;17991;5691;2026-02-28 19:30:47
15857;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;MARACANAÚ;DEMYSON ERNESTO BARBOSA DA SILVA;50;Professor de Ensino Fundamental;PSOL;Não Eleito;138441;1728;2026-02-28 19:30:47
